"","Outbreak_id","t0","Longitude","Latitude","Location_aprox","Location_name","level2_name","level1_name","Species","is_wild"
"1","ob_96627","2022",-76.758,35.145,TRUE,"Pamlico County",NA,"North Carolina","Anas strepera",TRUE
"2","ob_96627","2022",-76.758,35.145,TRUE,"Pamlico County",NA,"North Carolina","Anas platyrhynchos",TRUE
"3","ob_96627","2022",-76.758,35.145,TRUE,"Pamlico County",NA,"North Carolina","Anas acuta",TRUE
"4","ob_96626","2022",-76.328,35.393,TRUE,"Hyde County",NA,"North Carolina","Anas clypeata",TRUE
"5","ob_96761","2022",-86.941,38.391,TRUE,"Dubois County",NA,"Indiana","Birds",FALSE
"6","ob_97455","2022",-76.084,39.231,TRUE,"Kent County",NA,"Maryland","Aythya affinis",TRUE
"7","ob_97457","2022",-75.533,39.179,TRUE,"Kent County",NA,"Delaware","Anas americana",TRUE
"8","ob_97456","2022",-71.057,43.013,TRUE,"Rockingham County",NA,"New Hampshire","Anas platyrhynchos",TRUE
"9","ob_97454","2022",-77.798,38.736,TRUE,"Fauquier County",NA,"Virginia","Birds",FALSE
"10","ob_97679","2022",-88.873,36.511,TRUE,"Fulton County",NA,"Kentucky","Birds",FALSE
"11","ob_97678","2022",-86.867,38.294,TRUE,"Dubois County",NA,"Indiana","Birds",FALSE
"12","ob_97680","2022",-87.48,37.585,TRUE,"Webster County",NA,"Kentucky","Birds",FALSE
"13","ob_96627","2022",-76.758,35.145,TRUE,"Pamlico County",NA,"North Carolina","Anas carolinensis",TRUE
"14","ob_97917","2022",-72.575,41.555,TRUE,"Middlesex County",NA,"Connecticut","Anas platyrhynchos",TRUE
"15","ob_96626","2022",-76.328,35.393,TRUE,"Hyde County",NA,"North Carolina","Anser caerulescens",TRUE
"16","ob_97910","2022",-69.151,44.129,TRUE,"Knox County",NA,"Maine","Birds",FALSE
"17","ob_97908","2022",-72.702,40.937,TRUE,"Suffolk County",NA,"New York","Birds",FALSE
"18","ob_97981","2022",-75.509,39.73,TRUE,"New Castle County",NA,"Delaware","Birds",FALSE
"19","ob_97980","2022",-86.949,39.027,TRUE,"Greene County",NA,"Indiana","Birds",FALSE
"20","ob_97979","2022",-86.936,39.02,TRUE,"Greene County",NA,"Indiana","Birds",FALSE
"21","ob_98111","2022",-74.809,39.095,TRUE,"Cape May County",NA,"New Jersey","Anas platyrhynchos",TRUE
"22","ob_98071","2022",-89.071,36.969,TRUE,"Ballard County",NA,"Kentucky","Anser caerulescens",TRUE
"23","ob_98109","2022",-67.483,44.687,TRUE,"Washington County",NA,"Maine","Anas rubripes",TRUE
"24","ob_98110","2022",-86.938,34.749,TRUE,"Limestone County",NA,"Alabama","Anas americana",TRUE
"25","ob_98119","2022",-85.535,42.256,TRUE,"Kalamazoo County",NA,"Michigan","Birds",FALSE
"26","ob_98118","2022",-69.131,44.097,TRUE,"Knox County",NA,"Maine","Birds",FALSE
"27","ob_98116","2022",-73.894,41.673,TRUE,"Dutchess County",NA,"New York","Phasianidae (incognita)",TRUE
"28","ob_98117","2022",-73.97,41.944,TRUE,"Ulster County",NA,"New York","Birds",FALSE
"29","ob_98072","2022",-76.646,34.735,TRUE,"Carteret County",NA,"North Carolina","Aythya americana",TRUE
"30","ob_98073","2022",-80.846,28.554,TRUE,"Brevard County",NA,"Florida","Coragyps atratus",TRUE
"31","ob_98179","2022",-86.943,38.368,TRUE,"Dubois County",NA,"Indiana","Birds",FALSE
"32","ob_98481","2022",-95.587,41.332,TRUE,"Pottawattamie County",NA,"Iowa","Birds",FALSE
"33","ob_98480","2022",-94.31,38.256,TRUE,"Bates County",NA,"Missouri","Birds",FALSE
"34","ob_98478","2022",-70.3,41.687,TRUE,"Barnstable County",NA,"Massachusetts","Branta canadensis",TRUE
"35","ob_98479","2022",-72.116,41.363,TRUE,"New London County",NA,"Connecticut","Birds",FALSE
"36","ob_98611","2022",-95.092,42.748,TRUE,"Buena Vista County",NA,"Iowa","Birds",FALSE
"37","ob_98613","2022",-98.546,43.125,TRUE,"Charles Mix County",NA,"South Dakota","Birds",FALSE
"38","ob_98610","2022",-89.884,36.879,TRUE,"Stoddard County",NA,"Missouri","Birds",FALSE
"39","ob_98609","2022",-86.892,38.354,TRUE,"Dubois County",NA,"Indiana","Birds",FALSE
"40","ob_98615","2022",-75.917,39.541,TRUE,"Cecil County",NA,"Maryland","Birds",FALSE
