"","Outbreak_id","t0","Longitude","Latitude","Location_aprox","Location_name","level2_name","level1_name","Species","is_wild"
"1","ob_102890","2022",-88.974,42.745,TRUE,"Rock County",NA,"Wisconsin","Vulpes vulpes",TRUE
"2","ob_102891","2022",-89.293,44.078,TRUE,"Waushara County",NA,"Wisconsin","Vulpes vulpes",TRUE
"3","ob_103182","2022",-89.285,43.104,TRUE,"Dane County",NA,"Wisconsin","Vulpes vulpes",TRUE
"4","ob_103118","2022",-93.373,45.212,TRUE,"Anoka County",NA,"Minnesota","Vulpes vulpes",TRUE
"5","ob_103116","2022",-82.862,42.988,TRUE,"Saint Clair County",NA,"Michigan","Vulpes vulpes",TRUE
"6","ob_103115","2022",-82.862,42.592,TRUE,"Macomb County",NA,"Michigan","Vulpes vulpes",TRUE
"7","ob_103114","2022",-83.331,43.04,TRUE,"Lapeer County",NA,"Michigan","Vulpes vulpes",TRUE
"8","ob_103117","2022",-93.592,43.094,TRUE,"Hancock County",NA,"Iowa","Vulpes vulpes",TRUE
"9","ob_103113","2022",-88.796,43.027,TRUE,"Jefferson County",NA,"Wisconsin","Vulpes vulpes",TRUE
"10","ob_103748","2022",-90.709,42.841,TRUE,"Grant County",NA,"Wisconsin","Vulpes vulpes",TRUE
"11","ob_103758","2022",-78.818,42.877,TRUE,"Erie County",NA,"New York","Vulpes vulpes",TRUE
"12","ob_103747","2022",-92.831,45.063,TRUE,"Washington County",NA,"Minnesota","Vulpes vulpes",TRUE
"13","ob_103756","2022",-91.141,41.768,TRUE,"Cedar County",NA,"Iowa","Vulpes vulpes",TRUE
"14","ob_103754","2022",-78.697,43.169,TRUE,"Niagara County",NA,"New York","Vulpes vulpes",TRUE
"15","ob_103750","2022",-89.812,43.976,TRUE,"Adams County",NA,"Wisconsin","Vulpes vulpes",TRUE
"16","ob_103752","2022",-78.878,42.88,TRUE,"Erie County",NA,"New York","Vulpes vulpes",TRUE
"17","ob_103753","2022",-76.515,42.443,TRUE,"Tompkins County",NA,"New York","Vulpes vulpes",TRUE
"18","ob_103757","2022",-166.964,53.515,TRUE,"Aleutians West",NA,"Alaska","Vulpes vulpes",TRUE
"19","ob_103751","2022",-75.172,44.592,TRUE,"Saint Lawrence County",NA,"New York","Vulpes vulpes",TRUE
"20","ob_103746","2022",-93.321,44.964,TRUE,"Hennepin County",NA,"Minnesota","Vulpes vulpes",TRUE
"21","ob_104112","2022",-85.503,43.881,TRUE,"Osceola County",NA,"Michigan","Vulpes vulpes",TRUE
"22","ob_104031","2022",-100.808,46.773,TRUE,"Burleigh County",NA,"North Dakota","Vulpes vulpes",TRUE
"23","ob_104024","2022",-94.165,45.527,TRUE,"Stearns County",NA,"Minnesota","Vulpes vulpes",TRUE
